"Xb","Z","S","Q"
5771.9,57.719,120590000,3466900
5813,58.13,121090000,3491500
5854.3,58.543,121590000,3516400
5896,58.96,122080000,3541400
5937.9,59.379,122570000,3566600
5980.2,59.802,123060000,3591900
6022.7,60.227,123550000,3617500
6065.5,60.655,124040000,3643200
6108.7,61.087,124520000,3669100
6152.1,61.521,125010000,3695200
6195.9,61.959,125490000,3721500
6240,62.4,125960000,3748000
6284.4,62.844,126440000,3774700
6329.1,63.291,126910000,3801500
6374.1,63.741,127380000,3828600
6419.4,64.194,127850000,3855800
6465.1,64.651,128310000,3883200
6511.1,65.111,128770000,3910800
6557.4,65.574,129230000,3938700
6604.1,66.041,129680000,3966700
6651,66.51,130140000,3994900
6698.4,66.984,130580000,4023300
6746,67.46,131030000,4051900
6794,67.94,131470000,4080800
6842.3,68.423,131900000,4109800
6891,68.91,132330000,4139000
6940,69.4,132760000,4168500
6989.4,69.894,133190000,4198100
7039.1,70.391,133610000,4228000
7089.2,70.892,134020000,4258100
7139.6,71.396,134430000,4288300
7190.4,71.904,134840000,4318800
7241.5,72.415,135240000,4349600
7293.1,72.931,135630000,4380500
7344.9,73.449,136020000,4411700
7397.2,73.972,136400000,4443100
7449.8,74.498,136780000,4474700
7502.8,75.028,137160000,4506500
7556.2,75.562,137520000,4538600
7609.9,76.099,137880000,4570800
7664.1,76.641,138240000,4603400
7718.6,77.186,138590000,4636100
7773.5,77.735,138930000,4669100
7828.8,78.288,139260000,4702300
7884.5,78.845,139590000,4735700
7940.5,79.405,139910000,4769400
7997,79.97,140230000,4803400
8053.9,80.539,140530000,4837500
8111.2,81.112,140830000,4871900
8168.9,81.689,141120000,4906600
8227,82.27,141400000,4941500
8285.5,82.855,141680000,4976600
8344.5,83.445,141940000,5012000
8403.8,84.038,142200000,5047700
8463.6,84.636,142450000,5083600
8523.8,85.238,142690000,5119800
8584.5,85.845,142910000,5156200
8645.5,86.455,143130000,5192900
8707,87.07,143340000,5229800
8769,87.69,143540000,5267000
8831.4,88.314,143730000,5304500
8894.2,88.942,143910000,5342200
